name,url
패션.메이크업으로 본 북한사회 변화,https://www.kmooc.kr/view/course/detail/7238
역사에서 배우는 한반도 평화통일,https://www.kmooc.kr/view/course/detail/7237
"평양의 어제, 오늘 그리고 내일",https://www.kmooc.kr/view/course/detail/7236
"스크린에서 만나는 분단과 갈등, 그리고 평화",https://www.kmooc.kr/view/course/detail/7234
"전환의 시대, 한반도 읽기 ; 세 개의 한반도와 나 그리고 우리의 꿈",https://www.kmooc.kr/view/course/detail/7231
숫자로 보는 북한 주민의 생활,https://www.kmooc.kr/view/course/detail/7229
K-POP을 통해 배우는 STREET DANCE 기초 3,https://www.kmooc.kr/view/course/detail/7228
K-POP을 통해 배우는 STREET DANCE 기초 2,https://www.kmooc.kr/view/course/detail/7227
K-POP을 통해 배우는 STREET DANCE 기초 1,https://www.kmooc.kr/view/course/detail/7226
지혜로운 금융생활,https://www.kmooc.kr/view/course/detail/7225
컴퓨터활용능력 1급,https://www.kmooc.kr/view/course/detail/7223
손과 눈으로 따라하는 석유화학 품질실무,https://www.kmooc.kr/view/course/detail/7220
생산성 높은 공장 만들기,https://www.kmooc.kr/view/course/detail/7217
김기훈과 함께하는 알기쉬운 스케이트,https://www.kmooc.kr/view/course/detail/7214
스마트팩토리,https://www.kmooc.kr/view/course/detail/7209
오픈소스를 이용한 DevOps 구축 및 활용,https://www.kmooc.kr/view/course/detail/7204
SW와 컴퓨팅적 사고,https://www.kmooc.kr/view/course/detail/7202
스타트업챌린지,https://www.kmooc.kr/view/course/detail/7199
성공적인 소셜벤처 창업을 위한 실무 개론,https://www.kmooc.kr/view/course/detail/7195
창업과벤처,https://www.kmooc.kr/view/course/detail/7187
자율주행의 기초 및 자율주행 플랫폼을 활용한 시스템 구축 방법,https://www.kmooc.kr/view/course/detail/7176
중독상담,https://www.kmooc.kr/view/course/detail/7173
4차산업혁명 시대의 디지털 윤리,https://www.kmooc.kr/view/course/detail/7168
소프트웨어공학,https://www.kmooc.kr/view/course/detail/7158
소프트웨어와 창의적사고,https://www.kmooc.kr/view/course/detail/7157
창의적인 사람의 7가지 습관,https://www.kmooc.kr/view/course/detail/7148
사랑의 인문학,https://www.kmooc.kr/view/course/detail/7139
부자학,https://www.kmooc.kr/view/course/detail/7132
한국 생활사,https://www.kmooc.kr/view/course/detail/7123
건강과 식생활,https://www.kmooc.kr/view/course/detail/7112
헤어디자인 실무,https://www.kmooc.kr/view/course/detail/7101
역사의 이해,https://www.kmooc.kr/view/course/detail/7100
와인 미학,https://www.kmooc.kr/view/course/detail/7099
성공적인 이미지 메이킹,https://www.kmooc.kr/view/course/detail/7096
법집행의 딜레마 (Law Enforcement’s Dilemma),https://www.kmooc.kr/view/course/detail/7093
K-하브루타 : 부모교육,https://www.kmooc.kr/view/course/detail/7087
생활 속의 헌법 이야기,https://www.kmooc.kr/view/course/detail/7081
[집콕]생활 속의 헌법 이야기,https://www.kmooc.kr/view/course/detail/7076
인공지능 개론 및 응용,https://www.kmooc.kr/view/course/detail/7070
알기쉬운 데이터베이스론,https://www.kmooc.kr/view/course/detail/7066
영상처리,https://www.kmooc.kr/view/course/detail/7062
데이터 구조,https://www.kmooc.kr/view/course/detail/7058
미래 지식과 정보화 사회의 핵심 AI,https://www.kmooc.kr/view/course/detail/7054
세상을 바꾸는 빅데이터,https://www.kmooc.kr/view/course/detail/7050
지능 정보 사회와 AI 윤리,https://www.kmooc.kr/view/course/detail/7046
C 프로그래밍 개론,https://www.kmooc.kr/view/course/detail/7042
파이썬 프로그래밍,https://www.kmooc.kr/view/course/detail/7038
데이터로 바라본 4차 산업혁명 기술,https://www.kmooc.kr/view/course/detail/7032
소프트웨어 중심 사회속의 인터넷 윤리,https://www.kmooc.kr/view/course/detail/7028
블록체인 경제와 디지털 자산 혁명,https://www.kmooc.kr/view/course/detail/7020
실사례를 통한 머신러닝 알고리즘 구현 실습,https://www.kmooc.kr/view/course/detail/7018
SW&AI 전공 진입을 위한 수학,https://www.kmooc.kr/view/course/detail/7014
실습으로 배우는 머신러닝,https://www.kmooc.kr/view/course/detail/7010
인문·사회계열 전공생을 위한 Python 입문,https://www.kmooc.kr/view/course/detail/7006
조선 문인들이 사랑한 나의 집,https://www.kmooc.kr/view/course/detail/7002
현대인의 정신건강,https://www.kmooc.kr/view/course/detail/6998
예술적 얼굴과 감정조절,https://www.kmooc.kr/view/course/detail/6992
비즈니스를 위한 인공지능,https://www.kmooc.kr/view/course/detail/6986
한국의 자연지리,https://www.kmooc.kr/view/course/detail/6980
"의료사고, 법으로 이해하기",https://www.kmooc.kr/view/course/detail/6972
"기본권, 세상과 통하는 法",https://www.kmooc.kr/view/course/detail/6964
영화 코스튬 디자인,https://www.kmooc.kr/view/course/detail/6956
4차 산업혁명과 경영혁신,https://www.kmooc.kr/view/course/detail/6953
Understanding Human Rights,https://www.kmooc.kr/view/course/detail/6943
헌법: 갈등해결의 코드,https://www.kmooc.kr/view/course/detail/6936
음악은 왜 치료적인가?,https://www.kmooc.kr/view/course/detail/6926
역사와 문화 속의 인간,https://www.kmooc.kr/view/course/detail/6916
패션 스튜디오,https://www.kmooc.kr/view/course/detail/6906
설득의 과학,https://www.kmooc.kr/view/course/detail/6895
설득의 과학Ⅰ,https://www.kmooc.kr/view/course/detail/6888
설득의 과학 Ⅱ,https://www.kmooc.kr/view/course/detail/6882
아동과 청소년의 건강환경 Ⅰ,https://www.kmooc.kr/view/course/detail/6877
아동과 청소년의 건강환경 Ⅱ,https://www.kmooc.kr/view/course/detail/6866
우리 문화 속의 한자어,https://www.kmooc.kr/view/course/detail/6855
우리 문화 속의 한자어 Ⅰ,https://www.kmooc.kr/view/course/detail/6848
우리 문화 속의 한자어 Ⅱ,https://www.kmooc.kr/view/course/detail/6840
발레 : 융합문화예술의 실제 Ⅰ,https://www.kmooc.kr/view/course/detail/6833
발레 : 융합문화예술의 실제 Ⅱ,https://www.kmooc.kr/view/course/detail/6819
"국어연구소, 당신이 모르는 한국어",https://www.kmooc.kr/view/course/detail/6804
미디어는 메시지다. 미디어 생태학,https://www.kmooc.kr/view/course/detail/6801
"차이나 리포트, 중국통상을 말하다",https://www.kmooc.kr/view/course/detail/6798
기업가정신과 행동(Entrepreneurial Thinking and Action),https://www.kmooc.kr/view/course/detail/6795
창의융합인재 되기 3code 전략,https://www.kmooc.kr/view/course/detail/6792
인문고전으로서의 성서읽기-구약편,https://www.kmooc.kr/view/course/detail/6787
한국어 문화 문법을 통한 한국 문화의 이해,https://www.kmooc.kr/view/course/detail/6783
시민교양을 위한 정치철학: 한나 아렌트,https://www.kmooc.kr/view/course/detail/6779
생명정보개론,https://www.kmooc.kr/view/course/detail/6774
4차 산업혁명과 창업(창업 리스크를 줄이는 법률이야기),https://www.kmooc.kr/view/course/detail/6770
바이오메디컬비전 및 응용,https://www.kmooc.kr/view/course/detail/6766
통계학의 이해 Ⅱ,https://www.kmooc.kr/view/course/detail/6762
통계학의 이해 Ⅰ,https://www.kmooc.kr/view/course/detail/6760
금융경제 기초,https://www.kmooc.kr/view/course/detail/6756
범죄행동의 심리학,https://www.kmooc.kr/view/course/detail/6754
문학과 영화를 통한 법의 이해,https://www.kmooc.kr/view/course/detail/6751
고전의 현장과 스토리,https://www.kmooc.kr/view/course/detail/6744
위기의 정치경제학,https://www.kmooc.kr/view/course/detail/6740
진로지도와 상담,https://www.kmooc.kr/view/course/detail/6736
화학으로 본 세상이야기,https://www.kmooc.kr/view/course/detail/6728
젠더와 융합인성,https://www.kmooc.kr/view/course/detail/6725
융복합적 교양 코딩을 통한 디지털 휴머니티의 이해,https://www.kmooc.kr/view/course/detail/6720
세계시민의 말과 글,https://www.kmooc.kr/view/course/detail/6719
남북관계의 이해,https://www.kmooc.kr/view/course/detail/6718
아픈 영혼을 철학으로 치유하기 ,https://www.kmooc.kr/view/course/detail/6711
아시아계 미국인: 차별과 배제의 정치 ,https://www.kmooc.kr/view/course/detail/6709
삶과 교육,https://www.kmooc.kr/view/course/detail/6707
리더의 전략적 의사결정 ,https://www.kmooc.kr/view/course/detail/6705
학문적 글쓰기를 위한 한국어 문법,https://www.kmooc.kr/view/course/detail/6703
제한된 윤리성: 원인과 처방,https://www.kmooc.kr/view/course/detail/6699
논리적 영어 글쓰기,https://www.kmooc.kr/view/course/detail/6695
도시경제,https://www.kmooc.kr/view/course/detail/6691
직장인을 위한 영어의 장벽 넘기,https://www.kmooc.kr/view/course/detail/6687
대학생을 위한 영어의 장벽 넘기,https://www.kmooc.kr/view/course/detail/6682
운동생리학,https://www.kmooc.kr/view/course/detail/6677
독일어권 국가들의 문화 이해,https://www.kmooc.kr/view/course/detail/6672
현재와 대화하는 조선시대사,https://www.kmooc.kr/view/course/detail/6667
제자백가의 사상,https://www.kmooc.kr/view/course/detail/6661
물리화학,https://www.kmooc.kr/view/course/detail/6656
루쉰과 현대,https://www.kmooc.kr/view/course/detail/6651
한류(Hallyu)  한국 대중문화의 글로컬라이제이션(Glocalization),https://www.kmooc.kr/view/course/detail/6646
공공외교란 무엇인가,https://www.kmooc.kr/view/course/detail/6638
세계는 무엇으로 움직이는가,https://www.kmooc.kr/view/course/detail/6631
미래창업을 위한 창의성과 창의경영,https://www.kmooc.kr/view/course/detail/6622
융복합 프론티어 글쓰기,https://www.kmooc.kr/view/course/detail/6613
행복심리학,https://www.kmooc.kr/view/course/detail/6604
[집콕]행복심리학,https://www.kmooc.kr/view/course/detail/6601
상담학 들어가기,https://www.kmooc.kr/view/course/detail/6593
경제통계학 3부 - 표본조사와 통계적 추론 ,https://www.kmooc.kr/view/course/detail/6579
경제통계학 3부 : 표본조사와 통계적 추론 ,https://www.kmooc.kr/view/course/detail/6573
"경제통계학 2부 : 통계적 추론을 위한 개념, 도구, 사례 ",https://www.kmooc.kr/view/course/detail/6567
경제통계학 1부 : 그림과 수치를 이용한 자료의 정리,https://www.kmooc.kr/view/course/detail/6563
"경제통계학 2부 - 통계적 추론을 위한 개념, 도구, 사례 ",https://www.kmooc.kr/view/course/detail/6553
경제통계학 1부 - 그림과 수치를 이용한 자료의 정리,https://www.kmooc.kr/view/course/detail/6547
경제학원론 : 미시경제학,https://www.kmooc.kr/view/course/detail/6544
서울대 소장품 감상하기: 천문학을 중심으로,https://www.kmooc.kr/view/course/detail/6532
서울대 소장품 감상하기: 자연을 중심으로,https://www.kmooc.kr/view/course/detail/6530
정서와 행동의 심리학,https://www.kmooc.kr/view/course/detail/6528
불확실성을 다루는 수학,https://www.kmooc.kr/view/course/detail/6526
서울대 소장품 감상하기: 문화재를 중심으로,https://www.kmooc.kr/view/course/detail/6524
환자 시뮬레이터 체험하기,https://www.kmooc.kr/view/course/detail/6520
교육연구를 위한 통계방법,https://www.kmooc.kr/view/course/detail/6516
현대철학사조: 현대철학의 거장들,https://www.kmooc.kr/view/course/detail/6512
감염병 대응 음압병실 체험하기,https://www.kmooc.kr/view/course/detail/6508
서울대 소장품 감상하기: 예술을 중심으로 ,https://www.kmooc.kr/view/course/detail/6502
데이터로 배우는 통계학,https://www.kmooc.kr/view/course/detail/6496
[집콕]데이터로 배우는 통계학,https://www.kmooc.kr/view/course/detail/6491
경제학원론 : 거시경제학,https://www.kmooc.kr/view/course/detail/6490
[집콕]경제학원론 : 거시경제학,https://www.kmooc.kr/view/course/detail/6485
인간 중심 성찰과 디자인,https://www.kmooc.kr/view/course/detail/6484
[집콕]인간 중심 성찰과 디자인,https://www.kmooc.kr/view/course/detail/6479
현대사회 건강문제와 인간돌봄학문으로서의 간호,https://www.kmooc.kr/view/course/detail/6478
[집콕]현대사회 건강문제와 인간돌봄학문으로서의 간호,https://www.kmooc.kr/view/course/detail/6473
언어학과 인공지능,https://www.kmooc.kr/view/course/detail/6472
스토리텔링과 인공지능,https://www.kmooc.kr/view/course/detail/6464
인공지능 만들기,https://www.kmooc.kr/view/course/detail/6457
심리학과 인공지능,https://www.kmooc.kr/view/course/detail/6452
철학과 인공지능,https://www.kmooc.kr/view/course/detail/6444
니체 읽기-인문고전  『차라투스트라는 이렇게 말했다』,https://www.kmooc.kr/view/course/detail/6436
문학/영화와 인공지능,https://www.kmooc.kr/view/course/detail/6435
빅데이터와 인공지능의 응용,https://www.kmooc.kr/view/course/detail/6420
빅데이터와 머신러닝 소프트웨어,https://www.kmooc.kr/view/course/detail/6411
머신러닝,https://www.kmooc.kr/view/course/detail/6403
데이터 마이닝,https://www.kmooc.kr/view/course/detail/6400
인공지능의 기초,https://www.kmooc.kr/view/course/detail/6390
[집콕]인공지능의 기초,https://www.kmooc.kr/view/course/detail/6385
인간 뇌의 이해,https://www.kmooc.kr/view/course/detail/6379
논어와 현대 사회 - 리더를 위한 논어 읽기,https://www.kmooc.kr/view/course/detail/6368
[집콕]논어와 현대 사회 - 리더를 위한 논어 읽기,https://www.kmooc.kr/view/course/detail/6363
우주와 생명,https://www.kmooc.kr/view/course/detail/6357
흔들리는 20대 : 청년 심리학,https://www.kmooc.kr/view/course/detail/6342
[집콕]흔들리는 20대 : 청년 심리학,https://www.kmooc.kr/view/course/detail/6337
소비자와 시장,https://www.kmooc.kr/view/course/detail/6328
경제학 들어가기,https://www.kmooc.kr/view/course/detail/6317
[집콕]경제학 들어가기,https://www.kmooc.kr/view/course/detail/6312
종교 상징의 이해,https://www.kmooc.kr/view/course/detail/6297
언어와 인간,https://www.kmooc.kr/view/course/detail/6285
기계 학습 기반의 데이터 공학,https://www.kmooc.kr/view/course/detail/6271
휴먼컴퓨터인터페이스,https://www.kmooc.kr/view/course/detail/6269
감성 인공 지능,https://www.kmooc.kr/view/course/detail/6265
생체신호와 데이터 분석,https://www.kmooc.kr/view/course/detail/6261
인지와 감성,https://www.kmooc.kr/view/course/detail/6257
감성디자인,https://www.kmooc.kr/view/course/detail/6253
감성컴퓨팅,https://www.kmooc.kr/view/course/detail/6249
"게임엔진을 이용한 실감콘텐츠(VR, AR) 기획과 개발",https://www.kmooc.kr/view/course/detail/6245
인공지능시대의 사회적 쟁점,https://www.kmooc.kr/view/course/detail/6240
생성 모델과 시각 지능,https://www.kmooc.kr/view/course/detail/6236
대화와 인간관계,https://www.kmooc.kr/view/course/detail/6232
스마트 팩토리에 대한 이해 : 우리는 제조업을 어떻게 스마트하게 만들 수 있는가?,https://www.kmooc.kr/view/course/detail/6227
자율 에이전트 및 멀티 에이전트 시스템,https://www.kmooc.kr/view/course/detail/6222
C#을 이용한 GUI프로그래밍,https://www.kmooc.kr/view/course/detail/6208
한중문화비교론,https://www.kmooc.kr/view/course/detail/6203
자료구조,https://www.kmooc.kr/view/course/detail/6200
영상처리와 패턴인식,https://www.kmooc.kr/view/course/detail/6194
일반인을 위한 첨단 과학기술의 세계,https://www.kmooc.kr/view/course/detail/6182
My Major & Big Data,https://www.kmooc.kr/view/course/detail/6175
"올댓song, 노래 is",https://www.kmooc.kr/view/course/detail/6170
My Major & Big Data(내 전공과 빅데이터),https://www.kmooc.kr/view/course/detail/6161
디자인 천일야화,https://www.kmooc.kr/view/course/detail/6160
