name,url
회로이론,https://www.kmooc.kr/view/course/detail/1318
지역문화의 이해,https://www.kmooc.kr/view/course/detail/1313
세계일주로 배우는 국가와 도시,https://www.kmooc.kr/view/course/detail/1307
세계일주로 배우는 국가와 도시(Learning State and City by traveling around the world),https://www.kmooc.kr/view/course/detail/1304
발달지연 청소년의 참 세상살이를 위한 의사소통(1): 대인관계 기술,https://www.kmooc.kr/view/course/detail/1301
발달장애인을 위한 꿈의 대학,https://www.kmooc.kr/view/course/detail/1295
지적장애학생교육,https://www.kmooc.kr/view/course/detail/1289
재난과 정신건강,https://www.kmooc.kr/view/course/detail/1284
재난과 정신건강(Disaster and Mental Health),https://www.kmooc.kr/view/course/detail/1281
소매틱 재활,https://www.kmooc.kr/view/course/detail/1278
한국문화의 이해 ,https://www.kmooc.kr/view/course/detail/1268
어패럴패턴캐드,https://www.kmooc.kr/view/course/detail/1258
딥러닝 개론,https://www.kmooc.kr/view/course/detail/1248
사회복지정책론,https://www.kmooc.kr/view/course/detail/1238
함께하는 장애탐험,https://www.kmooc.kr/view/course/detail/1224
수어의 이해 ,https://www.kmooc.kr/view/course/detail/1210
성인학습 및 상담,https://www.kmooc.kr/view/course/detail/1198
사회복지역사,https://www.kmooc.kr/view/course/detail/1186
사회복지발달사,https://www.kmooc.kr/view/course/detail/1179
소비자행동의 심리학,https://www.kmooc.kr/view/course/detail/1174
B.U.S.(body-user-safety) 지식브릿지,https://www.kmooc.kr/view/course/detail/1164
포스트휴먼의 이해,https://www.kmooc.kr/view/course/detail/1158
부산과 세계,https://www.kmooc.kr/view/course/detail/1152
부산과세계,https://www.kmooc.kr/view/course/detail/1147
2030세대를 위한 부동산(실무),https://www.kmooc.kr/view/course/detail/1142
2030세대를 위한 부동산(기초),https://www.kmooc.kr/view/course/detail/1138
TRAVEL TO ENGLISH GRAMMAR WORLD,https://www.kmooc.kr/view/course/detail/1134
인간관계 심리학,https://www.kmooc.kr/view/course/detail/1130
스피치트레이닝,https://www.kmooc.kr/view/course/detail/1126
생각의 르네상스,https://www.kmooc.kr/view/course/detail/1122
의학으로 배우는 삶의 지혜,https://www.kmooc.kr/view/course/detail/1118
부산과 영화,https://www.kmooc.kr/view/course/detail/1114
"문화 코드로 대중서사 읽기 : 연애, 공포",https://www.kmooc.kr/view/course/detail/1110
분단과 평화에 관한 문화인류학의 탐색,https://www.kmooc.kr/view/course/detail/1107
AWS와 텐서플로우 기반 IoT 빅데이터 실습 및 활용,https://www.kmooc.kr/view/course/detail/1103
파이썬 기반 빅데이터 처리 및 분석 기술,https://www.kmooc.kr/view/course/detail/1096
빅데이터 분석 기술의 이해,https://www.kmooc.kr/view/course/detail/1089
IoT 프로그래밍 및 실습,https://www.kmooc.kr/view/course/detail/1082
IoT 기술의 이해,https://www.kmooc.kr/view/course/detail/1075
IoT 응용 프로그래밍,https://www.kmooc.kr/view/course/detail/1066
음악과 미술 사이,https://www.kmooc.kr/view/course/detail/1062
제4차 산업혁명 기반 기술의 이해,https://www.kmooc.kr/view/course/detail/1057
인간과 삶,https://www.kmooc.kr/view/course/detail/1050
"행복한 가족 만들기 ""똑똑한 엄마들의 착각""",https://www.kmooc.kr/view/course/detail/1044
의사가 알려주는 우리 몸의 진짜 이야기,https://www.kmooc.kr/view/course/detail/1043
생활 속의 지방자치,https://www.kmooc.kr/view/course/detail/1042
"행정과 인공지능: 정부, AI에 미래를 묻다.",https://www.kmooc.kr/view/course/detail/1041
디지털 논리회로와 인공지능,https://www.kmooc.kr/view/course/detail/1038
클릭! 부산(문화와언어),https://www.kmooc.kr/view/course/detail/1032
증권투자이론 기초,https://www.kmooc.kr/view/course/detail/1028
4차 산업시대 미래 질병과 신약개발,https://www.kmooc.kr/view/course/detail/1024
건강한 삶을 위한 운동 스마트한 헬스케어,https://www.kmooc.kr/view/course/detail/1020
삶을 버티게 하는 가치들,https://www.kmooc.kr/view/course/detail/1016
알기 쉬운 기계재료 성형,https://www.kmooc.kr/view/course/detail/1008
인문고전 마르크스의 [자본]을 읽다,https://www.kmooc.kr/view/course/detail/1000
고전과 현실경영,https://www.kmooc.kr/view/course/detail/989
문학예술과 광기,https://www.kmooc.kr/view/course/detail/977
C언어 기반의 라즈베리파이 임베디드 시스템,https://www.kmooc.kr/view/course/detail/965
비전공자를 위한 모바일 앱 만들기,https://www.kmooc.kr/view/course/detail/963
비전공자 중심의 컴퓨팅 사고력과 마인크레프트,https://www.kmooc.kr/view/course/detail/962
마인크래프트 교육용 에디션을 이용한 문제해결 중심의 컴퓨팅사고력,https://www.kmooc.kr/view/course/detail/961
스포츠+마케팅의 징검다리,https://www.kmooc.kr/view/course/detail/959
일본의 이해,https://www.kmooc.kr/view/course/detail/958
건축과 도시의 인문학,https://www.kmooc.kr/view/course/detail/956
서양철학의 전통,https://www.kmooc.kr/view/course/detail/949
조선후기 사상과 문화,https://www.kmooc.kr/view/course/detail/941
인문기초회계,https://www.kmooc.kr/view/course/detail/940
한국스토리텔링의 원형,https://www.kmooc.kr/view/course/detail/939
그리스로마 문화와 사상,https://www.kmooc.kr/view/course/detail/938
아리스토텔레스 철학,https://www.kmooc.kr/view/course/detail/937
"병자호란의 창(窓)으로 다시 본  조선시대, 조선시대 사람들",https://www.kmooc.kr/view/course/detail/936
포스트산업시대와 포스트 휴머니즘,https://www.kmooc.kr/view/course/detail/935
왜 음식윤리인가 : 문제 해결의 열쇠,https://www.kmooc.kr/view/course/detail/934
스마트 에너지 이론,https://www.kmooc.kr/view/course/detail/927
