name,url
비정형 데이터 분석: 소셜 네트워크의 이해 및 분석,https://www.kmooc.kr/view/course/detail/9365
디지털 마케팅과 소셜 미디어 브랜드 콘텐츠 전략,https://www.kmooc.kr/view/course/detail/9364
동물의 행동,https://www.kmooc.kr/view/course/detail/9363
건축으로 읽는 사회문화사,https://www.kmooc.kr/view/course/detail/9361
전기안전과 IoT 센서,https://www.kmooc.kr/view/course/detail/9360
"시, 이미지를 만나다",https://www.kmooc.kr/view/course/detail/9359
통증을 물어보는 진료 중국어,https://www.kmooc.kr/view/course/detail/9358
통증을 알아듣는 진료 중국어,https://www.kmooc.kr/view/course/detail/9357
패턴으로 정복하는 중급중국어,https://www.kmooc.kr/view/course/detail/9356
쉽게 들어가는 중국어 입문,https://www.kmooc.kr/view/course/detail/9355
한시공감,https://www.kmooc.kr/view/course/detail/9354
KOICA와 함께하는 SDGs 알아보기,https://www.kmooc.kr/view/course/detail/9350
KOICA와 함께하는 세계시민교육(일반인),https://www.kmooc.kr/view/course/detail/9349
KOICA와 함께하는 국제개발협력 분야별 이슈,https://www.kmooc.kr/view/course/detail/9348
KOICA와 함께하는 프로젝트 사업관리,https://www.kmooc.kr/view/course/detail/9347
KOICA와 함께하는 국제개발협력: 범분야의 이해,https://www.kmooc.kr/view/course/detail/9346
KOICA와 함께하는 국제개발협력 첫걸음,https://www.kmooc.kr/view/course/detail/9345
메타버스 & 실감콘텐츠의 이해,https://www.kmooc.kr/view/course/detail/9344
AI프로그래밍,https://www.kmooc.kr/view/course/detail/9343
한국문화로 배우는 한국어,https://www.kmooc.kr/view/course/detail/9342
신제품 설계론,https://www.kmooc.kr/view/course/detail/9339
국제이주의 이해,https://www.kmooc.kr/view/course/detail/9338
컬러리스트 산업기사 과정,https://www.kmooc.kr/view/course/detail/9334
신선요리 마스터과정,https://www.kmooc.kr/view/course/detail/9332
소셜벤처 스킬업 심화과정,https://www.kmooc.kr/view/course/detail/9330
소셜벤처 스킬업 기본과정,https://www.kmooc.kr/view/course/detail/9329
소셜벤처 스타트업 과정,https://www.kmooc.kr/view/course/detail/9328
SW 코딩 프로그래밍,https://www.kmooc.kr/view/course/detail/9327
3D Printing 제품 모델링,https://www.kmooc.kr/view/course/detail/9326
가상현실과 미디어 기술,https://www.kmooc.kr/view/course/detail/9325
마인드키퍼 정신건강 초기단기 개입과정,https://www.kmooc.kr/view/course/detail/9324
소셜벤처 빌드업 과정,https://www.kmooc.kr/view/course/detail/9323
소셜벤처 워밍업 과정,https://www.kmooc.kr/view/course/detail/9322
ESG와 지속가능한 발전,https://www.kmooc.kr/view/course/detail/9321
데이터엔지니어링,https://www.kmooc.kr/view/course/detail/9320
비주얼프로그래밍,https://www.kmooc.kr/view/course/detail/9319
웹툰 연출의 이해,https://www.kmooc.kr/view/course/detail/9318
융합예술과 문화공간 기획,https://www.kmooc.kr/view/course/detail/9317
K-POP을 통해 배우는 STREET DANCE 기초 3,https://www.kmooc.kr/view/course/detail/9316
K-POP을 통해 배우는 STREET DANCE 기초 2,https://www.kmooc.kr/view/course/detail/9315
회로이론,https://www.kmooc.kr/view/course/detail/9314
소프트웨어형 디지털치료제,https://www.kmooc.kr/view/course/detail/9313
AI 기반 기초 이론,https://www.kmooc.kr/view/course/detail/9312
공정 자동화를 위한 디지털 트윈의 이해,https://www.kmooc.kr/view/course/detail/9311
IIoT 기반 데이터 수집 개발,https://www.kmooc.kr/view/course/detail/9310
스마트공장과 CAD/CAM/CNC,https://www.kmooc.kr/view/course/detail/9309
청렴 북 콘서트,https://www.kmooc.kr/view/course/detail/9308
문화와 생활 속 청렴 시즌2,https://www.kmooc.kr/view/course/detail/9307
문화와 생활 속 청렴,https://www.kmooc.kr/view/course/detail/9306
유비온 테스트 02,https://www.kmooc.kr/view/course/detail/9289
코스모스 활용 강좌,https://www.kmooc.kr/view/course/detail/9288
"손끝 금융, 핀테크 경영",https://www.kmooc.kr/view/course/detail/9287
공직사회 반부패 원리와 방안,https://www.kmooc.kr/view/course/detail/9286
PACK&TECH: 패키징(기초편),https://www.kmooc.kr/view/course/detail/9285
정부와 행정,https://www.kmooc.kr/view/course/detail/9284
엑셀로 배우는 비용편익분석,https://www.kmooc.kr/view/course/detail/9283
우주생명과학: 우주에서 만난 지구인,https://www.kmooc.kr/view/course/detail/9282
할 수 있게 하는 4IR 기술,https://www.kmooc.kr/view/course/detail/9279
포용적 사회를 위한 디지털헬스케어,https://www.kmooc.kr/view/course/detail/9277
지식재산권,https://www.kmooc.kr/view/course/detail/9275
역사로 배우는 세금이야기,https://www.kmooc.kr/view/course/detail/9274
원리로 알아보는 경제분석,https://www.kmooc.kr/view/course/detail/9272
"영어, 일단패(턴과)구(조를)보자",https://www.kmooc.kr/view/course/detail/9270
테너 이현의 오페라 사랑방,https://www.kmooc.kr/view/course/detail/9268
발레의 이해와 아름다운 몸 만들기,https://www.kmooc.kr/view/course/detail/9267
객체지향형 프로그래밍과 자료구조,https://www.kmooc.kr/view/course/detail/9265
공자의 지혜 The Confucius’ Wisdom,https://www.kmooc.kr/view/course/detail/9264
An Introduction to Navigation 航海概论,https://www.kmooc.kr/view/course/detail/9262
Ships 船,https://www.kmooc.kr/view/course/detail/9261
Operation Management,https://www.kmooc.kr/view/course/detail/9260
K-뷰티 메이크업,https://www.kmooc.kr/view/course/detail/9258
How to open a food & beverage business,https://www.kmooc.kr/view/course/detail/9255
Concepts of Post-Production,https://www.kmooc.kr/view/course/detail/9252
Project Management,https://www.kmooc.kr/view/course/detail/9249
Internet Marketing,https://www.kmooc.kr/view/course/detail/9246
현대철도의 이해,https://www.kmooc.kr/view/course/detail/9244
알기 쉬운 화학이야기,https://www.kmooc.kr/view/course/detail/9242
성의 과학,https://www.kmooc.kr/view/course/detail/9240
"WHY, HOW로 풀어보는 생리학",https://www.kmooc.kr/view/course/detail/9239
"(오류)글로벌 소통의 중심, 통역과 번역",https://www.kmooc.kr/view/course/detail/9237
역사와 문화로 읽는 유럽도시,https://www.kmooc.kr/view/course/detail/9236
영국에 영어는 없었다,https://www.kmooc.kr/view/course/detail/9234
"글로벌 소통의 중심, 통역과 번역",https://www.kmooc.kr/view/course/detail/9232
욕망의 이해 : 모방이론으로 우리 일상 돌아보기,https://www.kmooc.kr/view/course/detail/9230
"중국, 그 다양성: 중국지역문화와 중국인",https://www.kmooc.kr/view/course/detail/9228
"가족과 건강: 암, 극복할 수 있다 Ⅱ",https://www.kmooc.kr/view/course/detail/9226
"가족과 건강: 암, 극복할 수 있다 Ⅰ  ",https://www.kmooc.kr/view/course/detail/9225
가족과 건강: 알레르기와 아토피를 극복하자,https://www.kmooc.kr/view/course/detail/9224
가족과 건강: 알기 쉬운 간호학,https://www.kmooc.kr/view/course/detail/9222
인공지능 만들기 : 기계학습 방법론의 이해,https://www.kmooc.kr/view/course/detail/9221
"도시와 건축 실무의 접점, 단지계획",https://www.kmooc.kr/view/course/detail/9220
여성과 정치,https://www.kmooc.kr/view/course/detail/9219
도전! 국제조세법 101,https://www.kmooc.kr/view/course/detail/9215
"장애, 체육을 만나다: 장애인체육 제대로 알기",https://www.kmooc.kr/view/course/detail/9213
마켓과 ING하기: 마케팅 고수가 되기 위한 원리,https://www.kmooc.kr/view/course/detail/9211
성공하는 사업자를 위한 법인세 세무전략,https://www.kmooc.kr/view/course/detail/9209
시민을 위한 정부회계,https://www.kmooc.kr/view/course/detail/9207
반도 채 몰라도 들을 수 있는 반도체 소자 이야기,https://www.kmooc.kr/view/course/detail/9205
"도시성장기 서울의 도시 개발 경험, 1960-2010",https://www.kmooc.kr/view/course/detail/9203
알기 쉬운 분자생물학,https://www.kmooc.kr/view/course/detail/9201
쉽게 시작하는 기초선형대수학,https://www.kmooc.kr/view/course/detail/9199
레이저란 무엇인가? 기초에서 응용까지,https://www.kmooc.kr/view/course/detail/9197
고려의 유산,https://www.kmooc.kr/view/course/detail/9195
시민을 위한 도시학 개론,https://www.kmooc.kr/view/course/detail/9193
"평양의 어제, 오늘 그리고 내일",https://www.kmooc.kr/view/course/detail/9191
"스크린에서 만나는 분단과 갈등, 그리고 평화",https://www.kmooc.kr/view/course/detail/9190
"전환의 시대, 한반도 읽기 ; 세 개의 한반도와 나 그리고 우리의 꿈",https://www.kmooc.kr/view/course/detail/9189
숫자로 보는 북한 주민의 생활,https://www.kmooc.kr/view/course/detail/9188
김기훈과 함께하는 알기쉬운 스케이트,https://www.kmooc.kr/view/course/detail/9187
스마트팩토리,https://www.kmooc.kr/view/course/detail/9186
성공적인 소셜벤처 창업을 위한 실무 개론,https://www.kmooc.kr/view/course/detail/9184
창업과벤처,https://www.kmooc.kr/view/course/detail/9182
4차산업혁명 시대의 디지털 윤리,https://www.kmooc.kr/view/course/detail/9180
소프트웨어공학,https://www.kmooc.kr/view/course/detail/9178
소프트웨어와 창의적사고,https://www.kmooc.kr/view/course/detail/9177
창의적인 사람의 7가지 습관,https://www.kmooc.kr/view/course/detail/9175
사랑의 인문학,https://www.kmooc.kr/view/course/detail/9173
부자학,https://www.kmooc.kr/view/course/detail/9171
한국 생활사,https://www.kmooc.kr/view/course/detail/9169
건강과 식생활,https://www.kmooc.kr/view/course/detail/9167
생활 속의 헌법 이야기,https://www.kmooc.kr/view/course/detail/9165
소프트웨어 중심 사회속의 인터넷 윤리,https://www.kmooc.kr/view/course/detail/9163
현대인의 정신건강,https://www.kmooc.kr/view/course/detail/9162
예술적 얼굴과 감정조절,https://www.kmooc.kr/view/course/detail/9161
한국의 자연지리,https://www.kmooc.kr/view/course/detail/9160
"의료사고, 법으로 이해하기",https://www.kmooc.kr/view/course/detail/9158
"기본권, 세상과 통하는 法",https://www.kmooc.kr/view/course/detail/9156
4차 산업혁명과 경영혁신,https://www.kmooc.kr/view/course/detail/9154
Understanding Human Rights,https://www.kmooc.kr/view/course/detail/9152
헌법: 갈등해결의 코드,https://www.kmooc.kr/view/course/detail/9150
음악은 왜 치료적인가?,https://www.kmooc.kr/view/course/detail/9148
역사와 문화 속의 인간,https://www.kmooc.kr/view/course/detail/9146
패션 스튜디오,https://www.kmooc.kr/view/course/detail/9144
설득의 과학,https://www.kmooc.kr/view/course/detail/9142
설득의 과학Ⅰ,https://www.kmooc.kr/view/course/detail/9141
설득의 과학 Ⅱ,https://www.kmooc.kr/view/course/detail/9140
아동과 청소년의 건강환경 Ⅰ,https://www.kmooc.kr/view/course/detail/9139
아동과 청소년의 건강환경 Ⅱ,https://www.kmooc.kr/view/course/detail/9138
우리 문화 속의 한자어,https://www.kmooc.kr/view/course/detail/9137
우리 문화 속의 한자어 Ⅰ,https://www.kmooc.kr/view/course/detail/9136
우리 문화 속의 한자어 Ⅱ,https://www.kmooc.kr/view/course/detail/9135
발레 : 융합문화예술의 실제 Ⅰ,https://www.kmooc.kr/view/course/detail/9134
발레 : 융합문화예술의 실제 Ⅱ,https://www.kmooc.kr/view/course/detail/9132
4차산업 혁명시대의 정보보안,https://www.kmooc.kr/view/course/detail/9130
"국어연구소, 당신이 모르는 한국어",https://www.kmooc.kr/view/course/detail/9129
미디어는 메시지다. 미디어 생태학,https://www.kmooc.kr/view/course/detail/9128
"차이나 리포트, 중국통상을 말하다",https://www.kmooc.kr/view/course/detail/9127
창의융합인재 되기 3code 전략,https://www.kmooc.kr/view/course/detail/9126
인문고전으로서의 성서읽기-구약편,https://www.kmooc.kr/view/course/detail/9125
한국어 문화 문법을 통한 한국 문화의 이해,https://www.kmooc.kr/view/course/detail/9123
시민교양을 위한 정치철학: 한나 아렌트,https://www.kmooc.kr/view/course/detail/9122
생명정보개론,https://www.kmooc.kr/view/course/detail/9121
통계학의 이해 Ⅱ,https://www.kmooc.kr/view/course/detail/9120
금융경제 기초,https://www.kmooc.kr/view/course/detail/9119
문학과 영화를 통한 법의 이해,https://www.kmooc.kr/view/course/detail/9118
고전의 현장과 스토리,https://www.kmooc.kr/view/course/detail/9117
위기의 정치경제학,https://www.kmooc.kr/view/course/detail/9116
진로지도와 상담,https://www.kmooc.kr/view/course/detail/9115
젠더와 융합인성,https://www.kmooc.kr/view/course/detail/9113
남북관계의 이해,https://www.kmooc.kr/view/course/detail/9112
현재와 대화하는 조선시대사,https://www.kmooc.kr/view/course/detail/9110
제자백가의 사상,https://www.kmooc.kr/view/course/detail/9109
물리화학,https://www.kmooc.kr/view/course/detail/9107
루쉰과 현대,https://www.kmooc.kr/view/course/detail/9105
한류(Hallyu)  한국 대중문화의 글로컬라이제이션(Glocalization),https://www.kmooc.kr/view/course/detail/9103
공공외교란 무엇인가,https://www.kmooc.kr/view/course/detail/9101
세계는 무엇으로 움직이는가,https://www.kmooc.kr/view/course/detail/9099
미래창업을 위한 창의성과 창의경영,https://www.kmooc.kr/view/course/detail/9097
융복합 프론티어 글쓰기,https://www.kmooc.kr/view/course/detail/9095
행복심리학,https://www.kmooc.kr/view/course/detail/9093
상담학 들어가기,https://www.kmooc.kr/view/course/detail/9091
경제통계학 3부 - 표본조사와 통계적 추론 ,https://www.kmooc.kr/view/course/detail/9089
경제통계학 3부 : 표본조사와 통계적 추론 ,https://www.kmooc.kr/view/course/detail/9088
"경제통계학 2부 : 통계적 추론을 위한 개념, 도구, 사례 ",https://www.kmooc.kr/view/course/detail/9087
경제통계학 1부 : 그림과 수치를 이용한 자료의 정리,https://www.kmooc.kr/view/course/detail/9086
